Client name,time
0,PT0.357838912S
1,PT0.258300792S
2,PT0.359141092S
3,PT0.398551418S
4,PT0.399547263S
5,PT0.245369241S
6,PT0.20349744S
7,PT0.389303831S
8,PT0.397583219S
9,PT0.439351608S
10,PT0.297015337S
11,PT0.191084582S
12,PT0.397535803S
13,PT0.447115593S
14,PT0.43582133S
15,PT0.29563745S
16,PT0.394943S
17,PT0.398777367S
18,PT0.243149152S
19,PT0.359035925S
20,PT0.403512766S
21,PT0.243264708S
22,PT0.291044187S
23,PT0.242564923S
24,PT0.402112989S
25,PT0.24056843S
26,PT0.202591725S
27,PT0.397870856S
28,PT0.400594324S
29,PT0.195721404S
30,PT0.35414448S
31,PT0.158891194S
32,PT0.396938839S
33,PT0.399815684S
34,PT0.3998099S
35,PT0.448602567S
36,PT0.292592197S
37,PT0.342814108S
38,PT0.397395244S
39,PT0.354704831S
40,PT0.39122106S
41,PT0.399778253S
42,PT0.193757678S
43,PT0.395856334S
44,PT0.398182772S
45,PT0.244078987S
46,PT0.35738146S
47,PT0.206838128S
48,PT0.193995299S
49,PT0.402671163S
